# ADC Parms
ADC_type_str	RH-ADC-VER3
ADC_serial_str	RH-ADC-VER3-001
Max_volt	5 
Min_volt	-5
# start gain table		
Freq_Hz	Gain_dB	
0	0.0	
3	0.0	
6	0.0	
9	0.0	
12	0.0	
15	0.0	
18	0.0	
21	0.0	
24	0.0	
27	0.0	
30	0.0	
33	0.0	
36	0.0	
39	0.0	
42	0.0	
45	0.0	
48	0.0	
51	0.0	
54	0.0	
57	0.0	
60	0.0	
63	0.0	
66	0.0	
69	0.0	
72	0.0	
75	0.0	
78	0.0	
81	0.0	
84	0.0	
87	0.0	
90	0.0	
93	0.0	
96	0.0	
99	0.0	
102	0.0	
105	0.0	
108	0.0	
111	0.0	
114	0.0	
117	0.0	
120	0.0	
123	0.0	
126	0.0	
130	0.0	
133	0.0	
136	0.0	
139	0.0	
142	0.0	
145	0.0	
148	0.0	
151	0.0	
154	0.0	
157	0.0	
160	0.0	
163	0.0	
166	0.0	
169	0.0	
172	0.0	
175	0.0	
178	0.0	
181	0.0	
184	0.0	
187	0.0	
190	0.0	
193	0.0	
196	0.0	
199	0.0	
202	0.0	
205	0.0	
208	0.0	
211	0.0	
214	0.0	
217	0.0	
220	0.0	
223	0.0	
226	0.0	
229	0.0	
232	0.0	
235	0.0	
238	0.0	
241	0.0	
244	0.0	
247	0.0	
250	0.0	
253	0.0	
256	0.0	
259	0.0	
262	0.0	
265	0.0	
268	0.0	
271	0.0	
274	0.0	
277	0.0	
280	0.0	
283	0.0	
286	0.0	
289	0.0	
292	0.0	
295	0.0	
298	0.0	
301	0.0	
304	0.0	
307	0.0	
310	0.0	
313	0.0	
316	0.0	
319	0.0	
322	0.0	
325	0.0	
328	0.0	
331	0.0	
334	0.0	
337	0.0	
340	0.0	
343	0.0	
346	0.0	
349	0.0	
352	0.0	
355	0.0	
358	0.0	
361	0.0	
364	0.0	
367	0.0	
370	0.0	
373	0.0	
376	0.0	
379	0.0	
382	0.0	
385	0.0	
389	0.0	
392	0.0	
395	0.0	
398	0.0	
401	0.0	
404	0.0	
407	0.0	
410	0.0	
413	0.0	
416	0.0	
419	0.0	
422	0.0	
425	0.0	
428	0.0	
431	0.0	
434	0.0	
437	0.0	
440	0.0	
443	0.0	
446	0.0	
449	0.0	
452	0.0	
455	0.0	
458	0.0	
461	0.0	
464	0.0	
467	0.0	
470	0.0	
473	0.0	
476	0.0	
479	0.0	
482	0.0	
485	0.0	
488	0.0	
491	0.0	
494	0.0	
497	0.0	
500	0.0	
503	0.0	
506	0.0	
509	0.0	
512	0.0	
515	0.0	
518	0.0	
521	0.0	
524	0.0	
527	0.0	
530	0.0	
533	0.0	
536	0.0	
539	0.0	
542	0.0	
545	0.0	
548	0.0	
551	0.0	
554	0.0	
557	0.0	
560	0.0	
563	0.0	
566	0.0	
569	0.0	
572	0.0	
575	0.0	
578	0.0	
581	0.0	
584	0.0	
587	0.0	
590	0.0	
593	0.0	
596	0.0	
599	0.0	
602	0.0	
605	0.0	
608	0.0	
611	0.0	
614	0.0	
617	0.0	
620	0.0	
623	0.0	
626	0.0	
629	0.0	
632	0.0	
635	0.0	
638	0.0	
641	0.0	
644	0.0	
647	0.0	
651	0.0	
654	0.0	
657	0.0	
660	0.0	
663	0.0	
666	0.0	
669	0.0	
672	0.0	
675	0.0	
678	0.0	
681	0.0	
684	0.0	
687	0.0	
690	0.0	
693	0.0	
696	0.0	
699	0.0	
702	0.0	
705	0.0	
708	0.0	
711	0.0	
714	0.0	
717	0.0	
720	0.0	
723	0.0	
726	0.0	
729	0.0	
732	0.0	
735	0.0	
738	0.0	
741	0.0	
744	0.0	
747	0.0	
750	0.0	
753	0.0	
756	0.0	
759	0.0	
762	0.0	
765	0.0	
768	0.0	
771	0.0	
774	0.0	
777	0.0	
780	0.0	
783	0.0	
786	0.0	
789	0.0	
792	0.0	
795	0.0	
798	0.0	
801	0.0	
804	0.0	
807	0.0	
810	0.0	
813	0.0	
816	0.0	
819	0.0	
822	0.0	
825	0.0	
828	0.0	
831	0.0	
834	0.0	
837	0.0	
840	0.0	
843	0.0	
846	0.0	
849	0.0	
852	0.0	
855	0.0	
858	0.0	
861	0.0	
864	0.0	
867	0.0	
870	0.0	
873	0.0	
876	0.0	
879	0.0	
882	0.0	
885	0.0	
888	0.0	
891	0.0	
894	0.0	
897	0.0	
900	0.0	
903	0.0	
906	0.0	
910	0.0	
913	0.0	
916	0.0	
919	0.0	
922	0.0	
925	0.0	
928	0.0	
931	0.0	
934	0.0	
937	0.0	
940	0.0	
943	0.0	
946	0.0	
949	0.0	
952	0.0	
955	0.0	
958	0.0	
961	0.0	
964	0.0	
967	0.0	
970	0.0	
973	0.0	
976	0.0	
979	0.0	
982	0.0	
985	0.0	
988	0.0	
991	0.0	
994	0.0	
997	0.0	
1000	0.0	
1003	0.0	
1006	0.0	
1009	0.0	
1012	0.0	
1015	0.0	
1018	0.0	
1021	0.0	
1024	0.0	
1027	0.0	
1030	0.0	
1033	0.0	
