# PHN-ver-1.0 Hydrophone-Microphone parm data Raven-X, Note: follow strict format for this file
Phone_type HTI-92-WP_PC_LN
Phone_serial   1109001 
Sens_dB -176.44
Pref    1V_per_uPa
# start gain table		
Freq_Hz	Gain_dB	
1	-34.0	
2	-28.0	
5	-20.0	
10	-14.0	
20	-8.6	
50	-3.0	
100	-1.0	
200	0.0	
1000	0.2	
1030	0.1	
1060	0.1	
1090	0.3	
1120	0.2	
1150	0.3	
1180	0.3	
1220	0.4	
1250	0.5	
1280	0.5	
1320	0.4	
1360	0.5	
1400	0.4	
1450	0.5	
1500	0.5	
1550	0.4	
1600	0.5	
1650	0.4	
1700	0.5	
1750	0.4	
1800	0.4	
1850	0.4	
1900	0.4	
1950	0.3	
2000	0.3	
2060	0.4	
2120	0.4	
2180	0.4	
2240	0.4	
2300	0.4	
2360	0.4	
2430	0.4	
2500	0.4	
2580	0.4	
2650	0.4	
2720	0.4	
2800	0.3	
2900	0.3	
3000	0.3	
3070	0.3	
3150	0.3	
3250	0.3	
3350	0.3	
3450	0.3	
3550	0.3	
3650	0.3	
3750	0.3	
3870	0.2	
4000	0.2	
4120	0.2	
4250	0.2	
4370	0.1	
4500	0.1	
4620	0.1	
4750	0.0	
4870	0.0	
5000	0.0	
5150	0.0	
5300	0.0	
5450	0.0	
5600	-0.1	
5800	-0.1	
6000	-0.1	
6150	-0.1	
6300	-0.1	
6500	-0.2	
6700	-0.3	
6900	-0.3	
7100	-0.3	
7300	-0.3	
7500	-0.3	
7750	-0.4	
8000	-0.4	
8250	-0.5	
8500	-0.6	
8750	-0.8	
9000	-0.9	
9250	-1.0	
9500	-1.1	
9750	-1.2	
10000	-1.2	
10300	-1.2	
10600	-1.3	
10900	-1.3	
11200	-1.5	
11500	-1.6	
11800	-1.7	
12200	-1.7	
12500	-1.6	
12800	-1.6	
13200	-1.5	
13600	-1.5	
14000	-1.5	
14500	-1.5	
15000	-1.4	
15500	-1.3	
16000	-1.1	
16500	-1.0	
17000	-0.9	
17500	-0.8	
18000	-0.6	
18500	-0.5	
19000	-0.4	
19500	-0.6	
20000	-0.9	
20600	-1.5	
21200	-2.3	
21800	-3.1	
22400	-3.8	
23000	-4.1	
23600	-4.2	
24300	-3.9	
25000	-3.5	
25800	-2.9	
26500	-2.4	
27200	-1.9	
28000	-1.1	
29000	0.0	
30000	0.9	
30700	1.2	
31500	1.2	
32500	0.9	
33500	0.6	
34500	0.5	
35500	0.6	
36500	0.7	
37500	0.6	
38700	0.0	
40000	-1.1	
41200	-2.1	
42500	-2.9	
43700	-2.9	
45000	-2.1	
46200	-1.0	
47500	0.1	
48700	0.8	
50000	1.2	
51500	1.5	
53000	1.8	
54500	2.3	
56000	2.5	
58000	1.9	
60000	0.9	
61500	1.2	
63000	1.9	
65000	1.9	
67000	1.0	
69000	-0.7	
71000	-2.6	
73000	-4.7	
75000	-7.7	
77500	-9.8	
80000	-8.2	
82500	-5.7	
85000	-3.7	
87500	-2.3	
90000	-1.2	
100000	0.0	
