Hz,Gain
1.6,-20.04321417
3.2,-14.14973317
6.4,-8.603380173
12.8,-4.086639173
25.6,-1.432100173
51.2,-0.404663173
100,-1.73441e-07
1000,-1.73441e-07
1100,-1.73441e-07
1200,-1.73441e-07
1300,-1.73441e-07
1400,-1.73441e-07
1500,-1.73441e-07
1600,-1.73441e-07
1700,-1.73441e-07
1800,-1.73441e-07
1900,-1.73441e-07
2000,-1.73441e-07
2100,-1.73441e-07
2200,0.049999827
2300,0.129999827
2400,0.169999827
2500,0.219999827
2600,0.239999827
2700,0.279999827
2800,0.249999827
2900,0.249999827
3000,0.229999827
3100,0.239999827
3200,0.199999827
3300,0.189999827
3400,0.179999827
3500,0.159999827
3600,0.159999827
3700,0.139999827
3800,0.129999827
3900,0.119999827
4000,0.109999827
4100,0.089999827
4200,0.079999827
4300,0.079999827
4400,0.089999827
4500,0.089999827
4600,0.089999827
4700,0.089999827
4800,0.069999827
4900,0.049999827
5000,0.009999827
5100,-0.030000173
5200,-0.080000173
5300,-0.110000173
5400,-0.140000173
5500,-0.140000173
5600,-0.110000173
5700,-0.080000173
5800,-0.030000173
5900,0.049999827
6000,0.149999827
6500,0.179999827
7000,0.179999827
7500,0.139999827
8000,-1.73441e-07
8500,-0.190000173
9000,-0.420000173
9500,-0.640000173
10000,-0.840000173
10500,-0.960000173
11000,-1.000000173
11500,-0.900000173
12000,-0.790000173
12500,-0.800000173
13000,-0.790000173
14000,-0.870000173
15000,-0.950000173
16000,-1.090000173
17000,-1.140000173
18000,-1.210000173
19000,-1.240000173
20000,-1.330000173
21000,-1.340000173
22000,-1.310000173
23000,-1.310000173
24000,-1.330000173
25000,-1.400000173
26000,-1.590000173
27000,-1.860000173
28000,-2.060000173
29000,-2.210000173
30000,-2.250000173
32000,-2.120000173
34000,-1.930000173
36000,-1.870000173
38000,-1.910000173
40000,-1.990000173
42000,-2.130000173
44000,-2.300000173
46000,-2.520000173
48000,-2.430000173
50000,-2.060000173
52000,-1.730000173
54000,-1.480000173
56000,-1.260000173
58000,-1.290000173
60000,-1.710000173
62000,-2.170000173
64000,-2.530000173
66000,-2.720000173
68000,-3.010000173
70000,-3.100000173
72000,-3.050000173
74000,-3.110000173
76000,-3.140000173
78000,-3.120000173
80000,-3.290000173
82000,-3.500000173
84000,-3.590000173
86000,-3.620000173
88000,-3.580000173
90000,-3.380000173
92000,-3.190000173
94000,-3.010000173
96000,-2.860000173
98000,-2.760000173
100000,-2.870000173
105000,-2.760000173
110000,-2.580000173
115000,-2.540000173
120000,-2.460000173
125000,-2.150000173
130000,-1.850000173
135000,-1.600000173
140000,-1.010000173
145000,-0.310000173
150000,0.309999827
155000,0.659999827
160000,0.769999827
165000,0.289999827
170000,-0.750000173
175000,-1.750000173
180000,-2.570000173
185000,-3.240000173
190000,-3.780000173
195000,-4.420000173
200000,-5.480000173
205000,-6.810000173
210000,-8.270000173
215000,-9.650000173
220000,-10.88000017
225000,-11.97000017
230000,-13.02000017
235000,-13.81000017
240000,-14.52000017
245000,-14.81000017
250000,-14.93000017
