Hz,Gain
19.44444444,-23.55936502
20.37037037,-23.68940637
21.2962963,-24.52935667
22.22222222,-25.36848981
23.14814815,-25.77904119
24.07407407,-26.71205381
25,-27.54901999
25.92592593,-28.92805021
26.85185185,-31.38923836
27.77777778,-33.90869596
28.7037037,-34.3320722
29.62962963,-31.0062884
30.55555556,-27.384488
31.48148148,-24.67528022
32.40740741,-22.77303704
33.33333333,-21.31589011
34.25925926,-20.2987722
35.18518519,-19.82071381
36.11111111,-19.87219618
37.03703704,-20.54504055
37.96296296,-21.61582247
38.88888889,-22.5035982
39.81481481,-23.16780532
40.74074074,-23.92023938
41.66666667,-24.54064913
42.59259259,-24.74850772
43.51851852,-24.45665655
44.44444444,-23.65794152
45.37037037,-22.39331529
46.2962963,-20.83845427
47.22222222,-19.38760747
48.14814815,-17.94516877
49.07407407,-16.60685781
50,-15.45369247
50.92592593,-14.45763279
51.85185185,-13.48034842
52.77777778,-12.54623683
53.7037037,-11.73381501
54.62962963,-11.0494499
55.55555556,-10.4070848
56.48148148,-9.775512484
57.40740741,-9.182688276
58.33333333,-8.719827881
59.25925926,-8.394767523
60.18518519,-8.128228552
61.11111111,-7.896112763
62.03703704,-7.692340807
62.96296296,-7.485460972
63.88888889,-7.288307486
64.81481481,-7.111001804
65.74074074,-6.932350216
66.66666667,-6.766726353
67.59259259,-6.656004971
68.51851852,-6.622146086
69.44444444,-6.634023729
70.37037037,-6.628059141
71.2962963,-6.613499209
72.22222222,-6.65055159
73.14814815,-6.739270584
74.07407407,-6.832165485
75,-6.877632865
75.92592593,-6.87478715
76.85185185,-6.847180531
77.77777778,-6.821068255
78.7037037,-6.799774582
79.62962963,-6.754528686
80.55555556,-6.672761206
81.48148148,-6.593252635
82.40740741,-6.528492413
83.33333333,-6.470898789
84.25925926,-6.410610458
85.18518519,-6.328514502
86.11111111,-6.254087974
87.03703704,-6.185595189
87.96296296,-6.113748156
88.88888889,-6.036413854
89.81481481,-5.952036723
90.74074074,-5.859068463
91.66666667,-5.770971667
92.59259259,-5.687515991
93.51851852,-5.602995801
94.44444444,-5.516104203
95.37037037,-5.419341048
96.2962963,-5.328497832
97.22222222,-5.253484191
98.14814815,-5.175390156
99.07407407,-5.096937972
100,-5.0222005
100.9259259,-4.945522259
101.8518519,-4.870402125
102.7777778,-4.793459177
103.7037037,-4.718295983
104.6296296,-4.645110335
105.5555556,-4.582404939
106.4814815,-4.532282361
107.4074074,-4.489349741
108.3333333,-4.448861545
109.2592593,-4.404377795
110.1851852,-4.35764599
111.1111111,-4.314677258
112.037037,-4.283639978
112.962963,-4.263048237
113.8888889,-4.248305814
114.8148148,-4.243707097
115.7407407,-4.213967758
116.6666667,-4.153603105
117.5925926,-4.103118075
118.5185185,-4.047435579
119.4444444,-3.987658503
120.3703704,-3.929403433
121.2962963,-3.862356157
122.2222222,-3.806974571
123.1481481,-3.796025578
124.0740741,-3.849384725
125,-3.872111806
125.9259259,-3.793009075
126.8518519,-3.696157971
127.7777778,-3.61404492
128.7037037,-3.539264889
129.6296296,-3.466866851
130.5555556,-3.397289999
131.4814815,-3.333352255
132.4074074,-3.275495447
133.3333333,-3.229217814
134.2592593,-3.191106291
135.1851852,-3.146901299
136.1111111,-3.088732147
137.037037,-3.018320695
137.962963,-2.942656097
138.8888889,-2.865845909
139.8148148,-2.791579796
140.7407407,-2.718856294
141.6666667,-2.641948669
142.5925926,-2.562222495
143.5185185,-2.48488676
144.4444444,-2.408689316
145.3703704,-2.335463713
146.2962963,-2.264533744
147.2222222,-2.193316238
148.1481481,-2.123745513
149.0740741,-2.058299327
150,-2.004065286
150.9259259,-1.96914548
151.8518519,-1.959920581
152.7777778,-1.971979169
153.7037037,-1.977371339
154.6296296,-1.890320571
155.5555556,-1.647969811
156.4814815,-1.34233616
157.4074074,-1.087940184
158.3333333,-0.899556762
159.2592593,-0.751338105
160.1851852,-0.621754365
161.1111111,-0.501133178
162.037037,-0.383849136
162.962963,-0.269281823
163.8888889,-0.15973922
164.8148148,-0.053473745
165.7407407,0.051598282
166.6666667,0.156192767
167.5925926,0.262315156
168.5185185,0.366178683
169.4444444,0.465416997
170.3703704,0.563061687
171.2962963,0.658394977
172.2222222,0.751486687
173.1481481,0.841361559
174.0740741,0.927934188
175,1.011110944
175.9259259,1.091167105
176.8518519,1.169204319
177.7777778,1.242794001
178.7037037,1.313471601
179.6296296,1.382504061
180.5555556,1.443708029
181.4814815,1.500740602
182.4074074,1.555456462
183.3333333,1.609619835
184.2592593,1.665615119
185.1851852,1.724254696
186.1111111,1.784052505
187.037037,1.84098145
187.962963,1.89199152
188.8888889,1.936416866
189.8148148,1.974765877
190.7407407,2.006890475
191.6666667,2.034017167
192.5925926,2.05843256
193.5185185,2.081291097
194.4444444,2.103547062
195.3703704,2.125091145
196.2962963,2.145195364
197.2222222,2.164163309
198.1481481,2.181276423
199.0740741,2.194225107
200,2.203341195
200.9259259,2.208829444
201.8518519,2.21042997
202.7777778,2.208171868
203.7037037,2.202498381
204.6296296,2.192963935
205.5555556,2.179738559
206.4814815,2.162876112
207.4074074,2.142830868
208.3333333,2.120622007
209.2592593,2.097282487
210.1851852,2.072560535
211.1111111,2.045598725
212.037037,2.015840064
212.962963,1.983728009
213.8888889,1.946993075
214.8148148,1.905681695
215.7407407,1.859573533
216.6666667,1.809123274
217.5925926,1.756154217
218.5185185,1.699635229
219.4444444,1.639231519
220.3703704,1.57645883
221.2962963,1.511921994
222.2222222,1.445087445
223.1481481,1.374924881
224.0740741,1.301743861
225,1.225987072
225.9259259,1.147690972
226.8518519,1.067692292
227.7777778,0.986465298
228.7037037,0.904926784
229.6296296,0.823308397
230.5555556,0.743101078
231.4814815,0.663253331
232.4074074,0.579678051
233.3333333,0.491496146
234.2592593,0.397961599
235.1851852,0.298624643
236.1111111,0.19501488
237.037037,0.087991704
237.962963,-0.022457973
238.8888889,-0.136317556
239.8148148,-0.253416987
240.7407407,-0.37299372
241.6666667,-0.494416308
242.5925926,-0.618565803
243.5185185,-0.747613352
244.4444444,-0.88498071
245.3703704,-1.034270929
246.2962963,-1.201840514
247.2222222,-1.38499188
248.1481481,-1.552163261
249.0740741,-1.670307752
250,-1.754011038
250.9259259,-1.836031038
251.8518519,-1.929373156
252.7777778,-2.030338202
253.7037037,-2.134528274
254.6296296,-2.239491753
255.5555556,-2.344358734
256.4814815,-2.44836097
257.4074074,-2.552375833
258.3333333,-2.657720395
259.2592593,-2.762187946
260.1851852,-2.864801248
261.1111111,-2.968379635
262.037037,-3.071042655
262.962963,-3.172469538
263.8888889,-3.270926306
264.8148148,-3.367220713
265.7407407,-3.461957855
266.6666667,-3.555118435
267.5925926,-3.643838471
268.5185185,-3.725632255
269.4444444,-3.803441741
270.3703704,-3.879012716
271.2962963,-3.949703434
272.2222222,-4.014757359
273.1481481,-4.075375801
274.0740741,-4.135730675
275,-4.205553225
275.9259259,-4.292605442
276.8518519,-4.399557817
277.7777778,-4.515084052
278.7037037,-4.622442883
279.6296296,-4.710861801
280.5555556,-4.779517223
281.4814815,-4.833363102
282.4074074,-4.874934627
283.3333333,-4.905853663
284.2592593,-4.927387294
285.1851852,-4.939733797
286.1111111,-4.945280369
287.037037,-4.946494405
287.962963,-4.943508401
288.8888889,-4.936095608
289.8148148,-4.924763863
290.7407407,-4.910658626
291.6666667,-4.89189907
292.5925926,-4.865889648
293.5185185,-4.83244085
294.4444444,-4.789957855
295.3703704,-4.736732233
296.2962963,-4.670551538
297.2222222,-4.590911471
298.1481481,-4.50004082
299.0740741,-4.397454408
300,-4.280221009
300.9259259,-4.151399009
301.8518519,-4.016850209
302.7777778,-3.87473794
303.7037037,-3.727352929
304.6296296,-3.577025733
305.5555556,-3.424036536
306.4814815,-3.26963503
307.4074074,-3.115526746
308.3333333,-2.962034586
309.2592593,-2.809993057
310.1851852,-2.660212481
311.1111111,-2.515210277
312.037037,-2.372991147
312.962963,-2.233959454
313.8888889,-2.09850659
314.8148148,-1.966367872
315.7407407,-1.840022925
316.6666667,-1.720049212
317.5925926,-1.605251981
318.5185185,-1.494562192
319.4444444,-1.386659821
320.3703704,-1.284118744
321.2962963,-1.187859275
322.2222222,-1.09469295
323.1481481,-1.00566477
324.0740741,-0.920471304
325,-0.839216207
325.9259259,-0.762326626
326.8518519,-0.687431491
327.7777778,-0.616117274
328.7037037,-0.548717164
329.6296296,-0.484120377
330.5555556,-0.422602565
331.4814815,-0.36427438
332.4074074,-0.308682633
333.3333333,-0.256368576
334.2592593,-0.207394319
335.1851852,-0.161632459
336.1111111,-0.117929556
337.037037,-0.077118345
337.962963,-0.038868861
338.8888889,-0.001910826
339.8148148,0.0318352
340.7407407,0.063937882
341.6666667,0.095044179
342.5925926,0.123687363
343.5185185,0.150232873
344.4444444,0.175760905
345.3703704,0.198716123
346.2962963,0.218729223
347.2222222,0.236517314
348.1481481,0.252847236
349.0740741,0.266558279
350,0.277960751
350.9259259,0.289391294
351.8518519,0.301710645
352.7777778,0.316482789
353.7037037,0.335566102
354.6296296,0.357955832
355.5555556,0.383447199
356.4814815,0.41190608
357.4074074,0.439910207
358.3333333,0.464248135
359.2592593,0.484151806
360.1851852,0.499634285
361.1111111,0.511013005
362.037037,0.518409181
362.962963,0.522838422
363.8888889,0.524715042
364.8148148,0.525246524
365.7407407,0.525269391
366.6666667,0.52410726
367.5925926,0.520868461
368.5185185,0.516771087
369.4444444,0.512713885
370.3703704,0.508152624
371.2962963,0.503439112
372.2222222,0.497657539
373.1481481,0.491146911
374.0740741,0.484580765
375,0.47749927
375.9259259,0.469600496
376.8518519,0.460374165
377.7777778,0.450116258
378.7037037,0.439151774
379.6296296,0.42744873
380.5555556,0.415102045
381.4814815,0.398855046
382.4074074,0.378117304
383.3333333,0.355646918
384.2592593,0.330826115
385.1851852,0.30356439
386.1111111,0.274783832
387.037037,0.243930786
387.962963,0.210979709
388.8888889,0.177288679
389.8148148,0.142954768
390.7407407,0.107452936
391.6666667,0.070620302
392.5925926,0.032989807
393.5185185,-0.004696502
394.4444444,-0.042436013
395.3703704,-0.082195605
396.2962963,-0.124573405
397.2222222,-0.169624491
398.1481481,-0.217095759
399.0740741,-0.267313998
400,-0.321480505
400.9259259,-0.378478343
401.8518519,-0.436622003
402.7777778,-0.497925778
403.7037037,-0.560891794
404.6296296,-0.623343045
405.5555556,-0.687008649
406.4814815,-0.751101631
407.4074074,-0.8146653
408.3333333,-0.87606403
409.2592593,-0.934054674
410.1851852,-0.988905093
411.1111111,-1.040018312
412.037037,-1.086484025
412.962963,-1.12692234
413.8888889,-1.161946497
414.8148148,-1.192280729
415.7407407,-1.21774576
416.6666667,-1.239178251
417.5925926,-1.259512893
418.5185185,-1.281902867
419.4444444,-1.309189926
420.3703704,-1.347508575
421.2962963,-1.395210116
422.2222222,-1.450762786
423.1481481,-1.516591117
424.0740741,-1.591835853
425,-1.672838098
425.9259259,-1.757567236
426.8518519,-1.843227192
427.7777778,-1.926914915
428.7037037,-2.007586924
429.6296296,-2.08363491
430.5555556,-2.15399438
431.4814815,-2.218414838
432.4074074,-2.278147501
433.3333333,-2.333900795
434.2592593,-2.384929311
435.1851852,-2.432681953
436.1111111,-2.479683366
437.037037,-2.525675786
437.962963,-2.570773909
438.8888889,-2.616087279
439.8148148,-2.66111685
440.7407407,-2.705764403
441.6666667,-2.749181621
442.5925926,-2.792407518
443.5185185,-2.835559653
444.4444444,-2.877247001
445.3703704,-2.917546661
446.2962963,-2.958092815
447.2222222,-2.997196327
448.1481481,-3.034629068
449.0740741,-3.071744904
450,-3.107256907
450.9259259,-3.140075079
